"unique_id","PERWT","SEX","EDUC","INCWAGE"
"201001165131",8807.4,1,6,0
"201001166531",13840.2,1,6,30000
"201001166532",12721.8,2,8,0
"201001166533",11044.2,1,6,600
"201001169331",6570.6,1,7,65000
"201001169332",9786,2,8,25000
"201001170721",20970,2,6,0
"201001172121",10205.4,1,6,15000
"201001173521",20970,2,10,0
"201001174921",12162.6,2,10,22000
"201001174922",10205.4,1,4,0
"201001174923",19991.4,2,8,28000
"201001176321",8947.2,2,6,0
"201001179111",25863,2,8,0
"201001179112",31455,1,6,48000
"201001181911",18453.6,1,6,40000
"201001181912",13420.8,2,7,0
"201001181913",15517.8,2,7,7100
"201001183311",6850.2,1,6,0
"201001184701",10065.6,2,8,28000
"201001186101",15378,2,7,30200
"201001187501",8527.8,2,5,0
"201001188901",8807.4,2,5,15000
"201001188902",14259.6,1,6,0
"201001188903",11184,1,3,0
"201001190301",9925.8,2,6,0
"201001190302",8108.4,1,6,0
"201001190304",28379.4,2,6,23000
"201001191691",8248.2,1,11,0
"201001191692",8248.2,2,6,0
"201001193091",9087,2,6,0
"201001195891",2516.4,2,5,0
"201001197291",8807.4,1,6,0
"201001197292",9366.6,2,6,0
"201001198681",10485,2,6,13000
"201001198682",9786,1,10,50000
"201001201481",3075.6,2,3,0
"201001202881",3075.6,2,6,0
"201001202882",3495,1,3,0
"201001205671",15238.2,1,11,0
"201001205672",10065.6,2,11,6500
"201001205673",10205.4,1,6,10000
"201001207071",12442.2,1,11,0
"201001207072",20830.2,2,5,0
"201001208471",17754.6,1,10,96000
"201001208472",16077,2,8,40000
"201001208473",25303.8,1,10,12000
"201001208474",13560.6,2,6,7300
"201001209871",2236.8,1,8,29300
"201001209872",2796,2,10,62000
"201001211271",11044.2,2,6,14700
"201001211272",11883,1,5,0
"201001211273",33971.4,2,3,25000
"201001212661",3215.4,1,10,40000
"201001212662",2656.2,2,10,0
"201001214061",2935.8,2,6,0
"201001214062",2656.2,1,6,0
"201001216861",3634.8,2,6,11000
"201001219651",7968.6,2,7,0
"201001219652",7828.8,1,7,0
"201001221051",10624.8,1,10,44400
"201001221052",17055.6,1,7,21000
"201001222451",2376.6,1,6,50000
"201001222452",3215.4,2,6,24000
"201001223851",9506.4,2,6,15200
"201001226641",18174,1,8,0
"201001228041",5032.8,2,6,12000
"201001228042",5871.6,1,2,4000
"201001228043",10624.8,1,7,1900
"201001229441",26981.4,2,6,27000
"201001229442",19851.6,1,7,9000
"201001229443",38165.4,1,7,18700
"201001230841",62350.8,1,10,70000
"201001230842",57877.2,2,10,22000
"201001232241",4893,1,6,68000
"201001232242",6710.4,2,6,30000
"201001232243",11603.4,1,6,8000
"201001233631",3495,2,6,23200
"201001233632",2935.8,1,6,0
"201001235031",2656.2,1,5,40000
"201001235032",2656.2,1,4,12000
"201001236431",10624.8,1,10,310000
"201001236432",18174,1,6,29100
"201001236433",10764.6,1,10,70000
"201001239231",4194,1,7,0
"201001240621",14399.4,1,10,1e+05
