"","id","abortion","pid","linc","female","college","mar","trump"
"113",113,1,0,11.5129204649577,0,0,0,NA
"114",114,1,1,9.32807896220044,1,0,0,0
"115",115,1,1,12.2060726455302,0,1,1,0
"116",116,1,NA,12.2060726455302,0,1,1,1
"117",117,1,1,11.3205475116983,0,0,1,0
"118",118,1,3,10.9150793732642,1,0,1,0
"119",119,0,5,11.1198754694258,1,0,1,NA
"120",120,1,4,10.7144066575796,0,0,0,1
"121",121,0,4,11.5129204649577,1,0,1,NA
"122",122,1,3,11.3205475116983,1,0,1,NA
"123",123,NA,0,11.1198754694258,1,1,0,0
"124",124,1,2,11.3205475116983,1,1,1,0
"125",125,1,0,10.3889799835841,0,1,0,0
"126",126,1,1,11.5129204649577,0,1,0,0
"127",127,1,6,11.3205475116983,1,1,1,1
"128",128,1,1,6.21460809842219,1,1,0,NA
"129",129,0,1,11.8493941301565,0,1,1,0
"130",130,1,0,11.982929094216,1,1,0,0
"131",131,-1,3,NA,1,0,1,NA
"132",132,1,1,10.5320828785363,1,1,1,NA
"133",133,1,0,12.2060726455302,0,1,1,0
"134",134,1,0,12.2060726455302,0,0,1,0
"135",135,1,0,12.2060726455302,0,0,1,NA
"136",136,-1,3,10.9150793732642,1,0,0,NA
"137",137,1,3,11.3205475116983,0,0,0,NA
"138",138,1,3,11.8493941301565,1,1,1,NA
"139",139,0,2,10.3889799835841,1,0,1,NA
"140",140,1,4,10.3889799835841,1,0,0,NA
"141",141,0,6,11.5129204649577,0,0,0,1
"142",142,1,1,10.0753167566096,0,0,1,0
"143",143,0,3,NA,0,0,0,NA
"144",144,0,3,9.83892236437633,0,0,0,NA
"145",145,1,0,11.1198754694258,0,0,0,0
"146",146,1,4,11.1198754694258,0,0,0,NA
"147",147,-1,1,11.1198754694258,0,0,0,NA
"148",148,0,3,9.52875773879718,1,1,0,0
"149",149,1,3,11.1198754694258,0,0,0,NA
"150",150,1,0,11.5129204649577,1,1,0,0
"151",151,1,2,11.1198754694258,1,1,0,NA
"152",152,-1,0,8.411721558474,1,0,0,0
"153",153,0,3,8.411721558474,1,0,0,0
"154",154,0,3,11.3205475116983,1,1,0,NA
"155",155,0,5,10.7144066575796,0,0,0,NA
"156",156,-1,1,9.32807896220044,1,0,1,NA
"157",157,-1,5,10.2219231016712,1,0,0,0
"158",158,0,NA,10.7144066575796,1,0,0,NA
"159",159,-1,2,9.83892236437633,1,0,1,NA
"160",160,0,3,9.52875773879718,1,0,0,NA
"161",161,0,0,NA,1,0,0,NA
"162",162,1,1,11.6952428550888,1,0,0,NA
"163",163,0,1,11.1198754694258,1,0,1,NA
"164",164,-1,1,8.61241245799717,1,0,1,NA
"165",165,1,3,8.16037538012959,1,0,1,NA
"166",166,NA,2,NA,1,0,0,0
"167",167,0,1,10.7144066575796,0,0,0,NA
"168",168,NA,3,NA,0,1,0,NA
"169",169,0,1,10.9150793732642,0,0,0,NA
"170",170,1,0,11.1198754694258,0,0,1,NA
"171",171,1,4,11.1198754694258,0,0,0,NA
"172",172,-1,2,10.3889799835841,0,0,1,NA
"173",173,1,6,10.7144066575796,1,0,0,1
"174",174,1,0,NA,1,1,0,0
"175",175,1,0,12.2060726455302,0,1,1,0
"176",176,0,3,11.982929094216,1,1,1,NA
"177",177,1,0,12.2060726455302,1,1,1,0
"178",178,0,4,11.8493941301565,0,0,0,1
"179",179,1,1,11.3205475116983,0,1,0,0
"180",180,0,3,9.52875773879718,0,0,0,NA
"181",181,-1,3,NA,1,0,0,NA
"182",182,0,2,9.32807896220044,1,0,0,NA
"183",183,1,0,11.8493941301565,0,1,0,0
"184",184,1,0,11.3205475116983,0,1,0,0
"185",185,0,2,11.8493941301565,0,1,0,NA
"186",186,1,0,11.982929094216,1,0,0,0
"187",187,1,2,11.5129204649577,1,0,0,NA
"188",188,0,1,11.6952428550888,0,1,1,0
"189",189,1,NA,NA,1,0,0,NA
"190",190,1,4,11.3205475116983,0,0,0,NA
"191",191,1,6,11.6952428550888,0,0,0,NA
"192",192,0,5,12.2060726455302,1,1,0,NA
"193",193,NA,2,6.21460809842219,0,0,0,NA
"194",194,0,4,11.5129204649577,1,1,1,NA
"195",195,1,6,9.83892236437633,0,0,1,NA
"196",196,0,4,11.5129204649577,0,1,0,1
"197",197,0,6,11.1198754694258,1,0,0,NA
"198",198,0,1,11.5129204649577,0,0,1,0
"199",199,1,1,11.8493941301565,1,1,1,0
"200",200,0,5,12.2060726455302,1,0,1,1
"201",201,1,4,11.3205475116983,0,1,0,NA
"202",202,0,1,12.2060726455302,0,0,0,0
"203",203,1,0,11.6952428550888,1,1,1,0
"204",204,1,2,11.3205475116983,1,0,1,NA
"205",205,1,3,11.3205475116983,0,1,1,NA
"206",206,1,NA,11.5129204649577,1,0,0,NA
"207",207,-1,4,11.6952428550888,0,0,1,NA
"208",208,0,NA,11.3205475116983,0,0,1,1
"209",209,1,1,11.5129204649577,0,1,1,0
"210",210,1,3,NA,1,0,0,0
"211",211,1,0,9.83892236437633,0,0,0,0
"212",212,0,6,12.2060726455302,0,0,1,1
"213",213,1,2,9.96408864466398,1,0,0,NA
"214",214,0,0,9.52875773879718,1,0,0,NA
"215",215,-1,6,10.3889799835841,1,0,1,1
"216",216,1,1,10.3889799835841,1,0,1,0
"217",217,-1,0,9.96408864466398,1,0,0,0
"218",218,-1,3,8.61241245799717,0,0,1,NA
"219",219,-1,2,9.32807896220044,1,0,0,NA
"220",220,-1,3,10.5320828785363,1,0,1,NA
"221",221,-1,6,11.8493941301565,1,1,1,1
"222",222,NA,0,12.2060726455302,1,1,1,0
"223",223,0,1,11.1198754694258,0,0,1,NA
"224",224,-1,0,11.3205475116983,0,0,0,NA
"225",225,1,2,11.1198754694258,0,1,0,0
"226",226,0,3,11.1198754694258,1,0,0,NA
"227",227,-1,2,10.3889799835841,0,0,1,NA
"228",228,1,2,11.1198754694258,1,1,0,NA
"229",229,1,4,11.3205475116983,1,0,0,NA
"230",230,1,2,10.5320828785363,1,0,0,NA
"231",231,1,4,10.2219231016712,1,0,0,NA
"232",232,1,6,11.1198754694258,1,1,0,NA
"233",233,0,3,NA,0,1,1,0
"234",234,1,4,10.7144066575796,1,0,1,NA
"235",235,0,5,11.5129204649577,0,0,1,NA
"236",236,1,2,12.2060726455302,1,1,1,0
"237",237,-1,6,10.3889799835841,1,0,0,1
"238",238,-1,6,NA,1,0,0,1
"239",239,0,4,11.982929094216,0,1,1,1
"240",240,1,3,11.8493941301565,1,0,1,0
"241",241,0,5,11.3205475116983,1,0,1,0
"242",242,1,3,10.7144066575796,0,0,0,NA
"243",243,0,6,10.3889799835841,1,0,1,1
"244",244,0,3,11.3205475116983,1,0,1,NA
"245",245,0,0,8.77948052984807,1,0,0,0
"246",246,0,0,NA,1,0,0,NA
"247",247,0,3,11.3205475116983,0,0,0,0
"248",248,1,4,10.7144066575796,0,0,0,1
"249",249,1,4,NA,0,1,0,NA
"250",250,1,4,12.2060726455302,0,0,1,NA
"251",251,1,4,9.52875773879718,1,0,0,NA
"252",252,1,2,12.2060726455302,0,1,1,0
